,is_active,brand,piracy,A_true,A_true,A_true,A_true,A_true,A_false,A_false,A_false,A_false,A_false,internal_B_true,internal_B_true,internal_B_true,internal_B_true,internal_B_true,external_B_true,external_B_true,external_B_true,external_B_true,external_B_true,B_true,B_true,B_true,B_true,B_true,internal_C_true,internal_C_true,internal_C_true,internal_C_true,internal_C_true,external_C_true,external_C_true,external_C_true,external_C_true,external_C_true,C_true,C_true,C_true,C_true,C_true,one_week_B_true_C_true,one_week_B_true_C_true,one_week_B_true_C_true,one_week_B_true_C_true,one_week_B_true_C_true,two_weeks_B_true_C_true,two_weeks_B_true_C_true,two_weeks_B_true_C_true,two_weeks_B_true_C_true,two_weeks_B_true_C_true,one_month_B_true_C_true,one_month_B_true_C_true,one_month_B_true_C_true,one_month_B_true_C_true,one_month_B_true_C_true,avg_time_start_C_true,avg_time_start_C_true,avg_time_start_C_true,avg_time_start_C_true,avg_time_start_C_true,median_time_start_C_true,median_time_start_C_true,median_time_start_C_true,median_time_start_C_true,median_time_start_C_true,min_time_start_C_true,min_time_start_C_true,min_time_start_C_true,min_time_start_C_true,min_time_start_C_true,max_time_start_C_true,max_time_start_C_true,max_time_start_C_true,max_time_start_C_true,max_time_start_C_true,avg_time_B_true_C_true,avg_time_B_true_C_true,avg_time_B_true_C_true,avg_time_B_true_C_true,avg_time_B_true_C_true,median_time_B_true_C_true,median_time_B_true_C_true,median_time_B_true_C_true,median_time_B_true_C_true,median_time_B_true_C_true,automatization_A,automatization_A,automatization_A,automatization_A,automatization_A,automatization_B,automatization_B,automatization_B,automatization_B,automatization_B,automatization_C,automatization_C,automatization_C,automatization_C,automatization_C
,unique,unique,unique,cum_q0,cum_q1,cum_q2,cum_q3,cum_q4,cum_q0,cum_q1,cum_q2,cum_q3,cum_q4,cum_q0,cum_q1,cum_q2,cum_q3,cum_q4,cum_q0,cum_q1,cum_q2,cum_q3,cum_q4,cum_q0,cum_q1,cum_q2,cum_q3,cum_q4,cum_q0,cum_q1,cum_q2,cum_q3,cum_q4,cum_q0,cum_q1,cum_q2,cum_q3,cum_q4,cum_q0,cum_q1,cum_q2,cum_q3,cum_q4,cum_q0,cum_q1,cum_q2,cum_q3,cum_q4,cum_q0,cum_q1,cum_q2,cum_q3,cum_q4,cum_q0,cum_q1,cum_q2,cum_q3,cum_q4,cum_q0,cum_q1,cum_q2,cum_q3,cum_q4,cum_q0,cum_q1,cum_q2,cum_q3,cum_q4,cum_q0,cum_q1,cum_q2,cum_q3,cum_q4,cum_q0,cum_q1,cum_q2,cum_q3,cum_q4,cum_q0,cum_q1,cum_q2,cum_q3,cum_q4,cum_q0,cum_q1,cum_q2,cum_q3,cum_q4,cum_q0,cum_q1,cum_q2,cum_q3,cum_q4,cum_q0,cum_q1,cum_q2,cum_q3,cum_q4,cum_q0,cum_q1,cum_q2,cum_q3,cum_q4
contractid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,active,0,1,0.0,0.0,5859.5,17356.0,399609.0,0.0,0.0,0.0,12.0,6942.0,0.0,0.0,5828.5,17201.0,395386.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5828.5,17201.0,395386.0,0.0,81.5,5000.5,15359.25,356500.0,0.0,0.0,0.0,0.0,0.0,0.0,81.5,5000.5,15359.25,356500.0,0.0,0.0,1.7056547405,6.208163719875,117.26570046740001,0.0,0.0,2.24735125775,7.561506937024999,141.4965946879,0.0,0.0,2.91444998425,9.326630495375,172.3218987605,0.0,0.0,63.5,254.0,5414.0,0.0,0.0,7.0,53.25,1348.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1137.5,4019.25,76391.0,0.0,0.0,57.0,209.75,4441.0,0.0,0.0,7.0,50.25,1267.0,0.0,0.0,0.025,2.9675,70.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,inactive,1,0,0.0,48.25,314.5,4460.75,108047.0,0.0,42.5,2412.0,8739.5,150499.0,0.0,0.0,0.0,0.0,875.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,881.0,0.0,0.0,0.0,0.0,223.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,226.0,0.0,0.0,0.0,0.0,1.336080586,0.0,0.0,0.0,0.0,1.9377289378,0.0,0.0,0.0,0.0,2.923076923,0.0,0.0,0.0,0.0,243.0,0.0,0.0,0.0,0.0,226.0,0.0,0.0,0.0,0.0,162.0,0.0,0.0,0.0,0.0,418.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,30.5,0.0,0.0,0.0,0.455,17.869999999999997,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0075,0.52
22,inactive,1,0,0.0,0.0,24.0,888.0,6854.0,0.0,0.0,10.0,56.0,1258.0,0.0,0.0,0.0,105.0,1457.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,1457.0,1.0,15.0,43.0,136.0,1588.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,43.0,136.0,1588.0,0.0,0.0,0.0,0.5910290667,4.4902954899,0.0,0.0,0.0,1.1656836549,6.9874035277,0.0,0.0,0.0,1.6018476277,8.579265510799999,10.0,52.0,156.0,379.0,2267.0,10.0,49.0,134.0,361.5,2162.5,3.0,19.0,87.0,244.0,1528.0,11.0,119.0,302.0,623.0,3634.0,4.0,24.0,96.0,325.0,1895.0,3.0,17.0,78.0,315.5,1810.0,0.0,0.0,1.0,3.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04
23,active,1,0,36.0,754.0,2483.0,5485.0,115338.0,0.0,27.0,148.0,846.0,29405.0,0.0,0.0,0.0,165.0,7048.0,0.0,0.0,0.0,0.0,110.0,0.0,0.0,0.0,194.0,7401.0,0.0,29.0,242.0,691.0,14472.0,0.0,0.0,0.0,0.0,103.0,0.0,31.0,247.0,696.0,14791.0,0.0,0.0,0.0,0.79968940855,28.198724545399998,0.0,0.0,0.0,1.4153378574,38.634680703200004,0.0,0.0,0.0,2.6359785637,61.5129944296,0.0,23.0,372.0,1353.0,28368.0,0.0,13.0,280.0,1241.5,26292.5,0.0,1.0,26.0,330.0,9864.0,0.0,48.0,736.0,2212.0,45933.0,0.0,1.0,98.0,520.0,10635.0,0.0,0.0,54.0,410.0,8514.5,0.0,0.0,0.5,4.21,77.89000000000001,0.0,0.0,0.0,0.01,1.6,0.0,0.37,2.78,7.470000000000001,146.91000000000003
24,active,1,0,87.0,2994.0,7874.0,17748.0,385130.0,0.0,18.0,125.0,1236.0,98559.0,0.0,387.0,1885.0,4865.0,99821.0,0.0,0.0,0.0,16.0,615.0,0.0,414.0,1925.0,4981.0,101906.0,0.0,552.0,1902.0,4269.0,86911.0,0.0,0.0,0.0,1.0,136.0,0.0,562.0,1924.0,4297.0,87573.0,0.0,0.044637460850000005,0.93547037305,3.38288082605,69.77146175725001,0.0,0.47764143829999994,2.34859869,5.9848727894,124.8588690791,0.0,1.3086775044,5.0901842951,11.054423704700001,218.5573334819,0.0,265.0,799.0,1653.0,34818.0,0.0,135.0,457.0,1101.5,23733.5,0.0,3.0,28.0,94.0,2480.0,0.0,1126.0,3879.0,7711.0,157357.0,0.0,87.0,340.0,898.0,18438.0,0.0,45.0,161.0,434.5,9885.0,0.0,0.02,0.74,3.9699999999999998,77.49999999999999,0.0,0.6900000000000001,2.58,6.819999999999999,134.7,0.0,0.4,1.25,2.88,61.23
25,active,1,0,524.0,7646.0,20118.0,43370.0,948965.0,0.0,87.0,1249.0,5414.0,178676.0,6.0,574.0,2911.0,7351.0,170289.0,0.0,0.0,0.0,137.0,6165.0,6.0,981.0,3805.0,8832.0,203439.0,0.0,879.0,3318.0,8205.0,173051.0,0.0,0.0,1.0,78.0,3415.0,0.0,960.0,3649.0,8707.0,184553.0,0.0,0.17196568355000003,1.38648864325,3.5309439404499994,71.9380473336,0.0,0.2659551725,2.4282887575,6.130428875600001,119.11863571880002,0.0,0.7877913028000001,4.397602236800001,9.643912173400002,186.56825473170002,2.0,300.0,989.0,2181.0,44692.0,2.0,142.5,560.5,1577.0,31509.0,0.0,8.0,25.0,61.0,1595.0,8.0,1148.0,4026.0,8535.0,170936.0,0.0,196.0,643.0,1453.0,30427.0,0.0,66.0,209.5,710.5,15509.0,0.0,0.01,1.4300000000000002,6.279999999999999,117.67999999999999,0.0,0.0,0.05,0.97,29.369999999999997,0.0,2.04,6.390000000000001,12.679999999999998,254.99
26,inactive,1,0,0.0,0.0,0.0,167.25,2601.0,0.0,0.0,0.0,48.75,1217.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,1.5,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,76.0,0.0,0.0,0.0,0.0,2.8461538462,0.0,0.0,0.0,0.0,2.8461538462,0.0,0.0,0.0,0.687500000025,5.7500000001,0.0,0.0,0.5,38.5,376.0,0.0,0.0,0.0,38.75,362.0,0.0,0.0,0.0,22.0,281.0,0.0,0.0,3.5,73.5,546.0,0.0,0.0,0.0,19.0,238.0,0.0,0.0,0.0,20.25,243.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,active,1,0,83.0,2686.0,7790.0,15023.0,320962.0,11.0,401.0,7098.0,45306.0,918722.0,0.0,114.0,1850.0,6161.0,130467.0,0.0,0.0,0.0,0.0,13.0,0.0,117.0,1857.0,6168.0,130639.0,1.0,489.0,1986.0,5638.0,122495.0,0.0,0.0,0.0,0.0,22.0,1.0,491.0,1989.0,5642.0,122580.0,0.0,0.0,0.810938598,3.8332926445000006,77.29537431780001,0.0,0.042458199800000006,1.8439491148,7.113657876,132.0886739508,0.0,0.0493075148,3.6065093742,10.4428462762,189.60903150930002,3.0,135.0,464.0,973.0,21610.0,3.0,98.5,290.5,692.5,16213.5,0.0,2.0,20.0,55.0,2087.0,7.0,787.0,2360.0,4521.0,94490.0,2.0,81.0,274.0,712.0,15706.0,2.0,38.0,123.0,434.5,10536.5,0.0,0.0,0.05,0.28,9.66,0.0,0.16999999999999998,1.82,5.950000000000001,116.31000000000002,0.0,0.0,0.0,0.0,0.0
28,active,1,0,240.0,3516.0,8984.0,17898.0,381545.0,0.0,171.0,667.0,2192.0,47640.0,0.0,89.0,2784.0,8496.0,176513.0,0.0,0.0,0.0,0.0,48.0,0.0,100.0,2795.0,8517.0,176966.0,0.0,257.0,2455.0,8532.0,168686.0,0.0,0.0,0.0,0.0,37.0,0.0,270.0,2474.0,8551.0,169174.0,0.0,0.10556669005,1.6441655391999999,5.401488551800001,103.92947134645,0.0,0.2856289777,2.9856735035999997,7.8376067718,150.21840796819998,0.0,1.2343996940000002,5.3950325907000005,11.3812859914,224.04180819569999,0.0,110.0,433.0,992.0,21178.0,0.0,49.0,204.0,484.0,11742.0,0.0,0.0,8.0,22.0,1531.0,0.0,708.0,2484.0,5576.0,112304.0,0.0,73.0,331.0,845.0,18146.0,0.0,14.0,80.0,318.0,8257.5,0.0,0.0,0.0,0.25,7.499999999999999,0.0,0.0,0.01,0.6,15.74,0.0,0.0,0.0,0.0,3.71
29,active,1,0,429.0,5481.0,13482.0,28253.0,667235.0,0.0,201.0,609.0,1499.0,34963.0,0.0,1418.0,4550.0,9913.0,220310.0,0.0,0.0,4.0,148.0,4108.0,0.0,1510.0,4737.0,10277.0,229734.0,0.0,1257.0,3979.0,8445.0,183098.0,0.0,0.0,10.0,133.0,3861.0,0.0,1324.0,4199.0,8811.0,191945.0,0.0,0.4355438627,2.5473773165000004,6.005185671900001,122.23065102410003,0.0,2.050045054,6.250330097100001,12.058907823100002,244.23975032060002,0.1094147583,4.0082260677,9.893433923800002,17.0360073334,355.2369136025,5.0,119.0,320.0,656.0,14607.0,5.0,70.0,194.0,406.0,8911.0,0.0,5.0,16.0,50.0,1128.0,7.0,643.0,1993.0,4864.0,97940.0,4.0,87.0,222.0,464.0,10575.0,2.0,39.0,115.0,234.0,5336.0,0.0,0.13,0.56,3.4799999999999995,77.17,0.0,0.01,0.22000000000000003,2.84,63.7,0.0,0.0,0.0,0.0,0.03
